"PayCode","TotalHoursWorked","LateCount","TotalAbsentHours","TotalUndertime","TotalOvertime","RegularAtt","OvertimeAtt","NightShiftAtt","NightShiftOtAtt","EmpCodeId"
"May-1-31-2025","72.2","1","1","0","0.00","{}","{}","{}","{}","EMB10001"
"May-1-31-2025","72.00","2","2","41","0.00","{}","{}","{}","{}","EMB10002"
"May-1-31-2025","80.00","3","3","0","0.00","{}","{}","{}","{}","EMB10004"
"May-1-31-2025","108.78","4","4","0","0.00","{}","{}","{}","{}","EMB10006"
"May-1-31-2025","96.00","5","5","0","0.00","{}","{}","{}","{}","EMB10010"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10011"
"May-1-31-2025","88.00","0","0.0","47","0.00","{}","{}","{}","{}","EMB10012"
"May-1-31-2025","87.82","0","0.0","47","0.00","{}","{}","{}","{}","EMB10013"
"May-1-31-2025","88.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10014"
"May-1-31-2025","103.98","0","0.0","0","0.00","{}","{}","{}","{}","EMB10015"
"May-1-31-2025","88.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10016"
"May-1-31-2025","79.98","0","0.0","0","0.00","{}","{}","{}","{}","EMB10019"
"May-1-31-2025","100.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10024"
"May-1-31-2025","95.95","0","0.0","0","0.00","{}","{}","{}","{}","EMB10028"
"May-1-31-2025","40.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10030"
"May-1-31-2025","104.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10032"
"May-1-31-2025","87.98","0","0.0","31","0.00","{}","{}","{}","{}","EMB10036"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10040"
"May-1-31-2025","112.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10041"
"May-1-31-2025","96.00","0","0.0","47","0.00","{}","{}","{}","{}","EMB10042"
"May-1-31-2025","80.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10050"
"May-1-31-2025","95.98","0","0.0","0","0.00","{}","{}","{}","{}","EMB10053"
"May-1-31-2025","80.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10056"
"May-1-31-2025","88.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10060"
"May-1-31-2025","112.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10061"
