"PayCode","EmpCodeId","LateCount","TotalAbsentHours","TotalOvertime","GrossPay","sss_employee_share","Netpay","basic_salary","philhealth","pagibig_employee_share"
"February-1-15-2025","EMB10001","14.31","229.01","5421.94",7678.62,"250","7303.62","2500.00","125.00",0
"February-1-15-2025","EMB10002","35.64","1140.46","0.00",5048.9,"625","4112.65","6225.00","311.25",0
"February-1-15-2025","EMB10004","88.24","2823.66","0.00",7363.1,"1025","5824.35","10275.00","513.75",0
"February-1-15-2025","EMB10006","110.21","3526.72","0.00",5988.07,"975","4531.82","9625.00","481.25",0
"February-1-15-2025","EMB10010","127.03","4064.89","0.00",4683.08,"900","3339.33","8875.00","443.75",0
"February-1-15-2025","EMB10011","0.00","0.00","0.00",8025,"800","6823.75","8025.00","401.25",0
"February-1-15-2025","EMB10012","0.00","0.00","0.00",10125,"1025","8593.75","10125.00","506.25",0
"February-1-15-2025","EMB10013","0.00","0.00","0.00",0,"250","-250.00","0.00","0.00",0
"February-1-15-2025","EMB10014","0.00","0.00","0.00",0,"250","-250.00","0.00","0.00",0
"February-1-15-2025","EMB10015","0.00","0.00","0.00",0,"250","-250.00","0.00","0.00",0
"February-1-15-2025","EMB10016","0.00","0.00","0.00",0,"250","-250.00","0.00","0.00",0
"February-1-15-2025","EMB10017","0.00","0.00","0.00",6325,"625","5383.75","6325.00","316.25",0
"February-1-15-2025","EMB10019","0.00","0.00","0.00",0,"250","-250.00","0.00","0.00",0
"February-1-15-2025","EMB10024","0.00","0.00","0.00",0,"250","-250.00","0.00","0.00",0
"February-1-15-2025","EMB10028","0.00","0.00","0.00",0,"250","-250.00","0.00","0.00",0
"February-1-15-2025","EMB10030","0.00","0.00","0.00",0,"250","-250.00","0.00","0.00",0
"February-1-15-2025","EMB10032","0.00","0.00","0.00",0,"250","-250.00","0.00","0.00",0
"February-1-15-2025","EMB10036","0.00","0.00","0.00",0,"250","-250.00","0.00","0.00",0
"February-1-15-2025","EMB10040","0.00","0.00","0.00",0,"250","-250.00","0.00","0.00",0
"February-1-15-2025","EMB10041","0.00","0.00","0.00",0,"250","-250.00","0.00","0.00",0
"February-1-15-2025","EMB10042","0.00","0.00","0.00",0,"250","-250.00","0.00","0.00",0
